date,temp,ground_code,ground_expl,prec_mm_total_24h,prec_mm_6h,snow_depth_cm,snow_depth_cm_accumulated,month,day,year,dow,dow_name,holiday,mean_arrival_delay,mean_net_additional_delay,mean_abs_additional_delay,mean_delay_recovery_index
2023-02-22,-3.2,17,complete_snow_loose_dry,1.3,0.1,2.0,2.0,2,22,2023,2,Wednesday,False,193.61979166666666,2.088541666666667,39.5390625,33.1328125
2023-03-06,-5.0,12,partial_snow_packed_wet_el_half,0.1,0.1,3.0,3.0,3,6,2023,0,Monday,False,173.61979166666669,2.2955729166666665,42.787760416666664,35.2265625
2023-03-08,-3.1,17,complete_snow_loose_dry,5.0,0.4,18.0,17.0,3,8,2023,2,Wednesday,False,533.1949404761905,35.648809523809526,67.87797619047619,31.684523809523814
2023-03-09,-5.2,17,complete_snow_loose_dry,1.5,0.0,28.000000000000004,10.000000000000004,3,9,2023,3,Thursday,False,369.01851851851853,13.648148148148149,45.74691358024692,32.098765432098766
2023-03-27,-3.9,17,complete_snow_loose_dry,7.0,0.9,4.0,3.0,3,27,2023,0,Monday,False,473.3014705882353,1.1348039215686274,42.47794117647059,36.377450980392155
2023-03-28,-4.4,17,complete_snow_loose_dry,0.4,0.5,15.0,11.0,3,28,2023,1,Tuesday,False,,,,
2023-03-30,-4.6,17,complete_snow_loose_dry,0.0,0.0,14.000000000000002,1.0000000000000018,3,30,2023,3,Thursday,False,226.76867816091956,5.785919540229885,40.604885057471265,32.537356321839084
2023-11-28,-3.8,17,complete_snow_loose_dry,9.7,0.0,4.0,2.0,11,28,2023,1,Tuesday,False,181.97333333333333,6.4159999999999995,41.205333333333336,32.586666666666666
2023-11-29,-4.9,17,complete_snow_loose_dry,0.8,0.9,15.0,11.0,11,29,2023,2,Wednesday,False,189.20258064516128,7.051612903225807,40.77806451612903,31.85290322580645
2023-11-30,-2.3,17,complete_snow_loose_dry,3.1,0.5,16.0,1.0,11,30,2023,3,Thursday,False,182.1303703703704,4.915555555555556,39.83111111111111,31.691851851851855
2023-12-01,-1.1,17,complete_snow_loose_dry,0.2,0.0,17.0,1.0,12,1,2023,4,Friday,False,131.3858064516129,3.8812903225806448,37.91483870967742,31.421935483870964
2023-12-08,0.6,17,complete_snow_loose_dry,1.4,0.9,15.0,2.0,12,8,2023,4,Friday,False,134.4525,4.47375,42.10375,35.2375
2023-12-11,1.1,17,complete_snow_loose_dry,1.8,1.9,14.000000000000002,1.0000000000000018,12,11,2023,0,Monday,False,102.28551724137932,1.8248275862068966,38.55310344827586,32.35586206896552
2023-12-12,-2.7,17,complete_snow_loose_dry,0.2,0.0,15.0,0.9999999999999982,12,12,2023,1,Tuesday,False,95.22967741935483,2.161290322580645,39.6683870967742,33.329032258064515
2024-01-02,-5.1,17,complete_snow_loose_dry,0.8,0.3,7.000000000000001,5.000000000000001,1,2,2024,1,Tuesday,False,46.583703703703705,-2.7866666666666666,39.829629629629636,33.59407407407407
2024-01-03,-7.0,17,complete_snow_loose_dry,1.5,0.0,8.0,0.9999999999999992,1,3,2024,2,Wednesday,False,6.812857142857142,-6.322857142857143,40.00857142857143,32.848571428571425
2024-01-04,-7.4,17,complete_snow_loose_dry,0.8,0.0,10.0,2.0,1,4,2024,3,Thursday,False,31.75857142857143,-4.055714285714286,38.09285714285714,32.097142857142856
2024-01-15,-5.6,17,complete_snow_loose_dry,0.5,1.4,9.0,6.0,1,15,2024,0,Monday,False,244.39875,7.8025,43.71,33.98
2024-01-16,-13.6,17,complete_snow_loose_dry,0.3,0.1,13.0,4.0,1,16,2024,1,Tuesday,False,177.9174193548387,7.361290322580645,43.064516129032256,34.211612903225806
2024-01-17,-2.0,17,complete_snow_loose_dry,7.1,0.5,14.000000000000002,1.0000000000000018,1,17,2024,2,Wednesday,False,216.53161290322583,9.637419354838709,41.81032258064516,31.58451612903226
2024-01-18,-4.6,17,complete_snow_loose_dry,0.1,0.0,18.0,3.9999999999999982,1,18,2024,3,Thursday,False,157.95096774193547,4.615483870967743,39.660645161290326,31.81935483870968
2024-02-09,-4.6,17,complete_snow_loose_dry,0.3,2.5,3.0,3.0,2,9,2024,4,Friday,False,142.5006451612903,3.36,41.589677419354835,35.39354838709678
2024-02-13,-0.4,17,complete_snow_loose_dry,6.0,1.8,6.0,3.0,2,13,2024,1,Tuesday,False,121.844,4.421333333333333,41.17333333333333,32.89866666666667
2024-02-14,-2.3,17,complete_snow_loose_dry,0.0,0.0,9.0,3.0,2,14,2024,2,Wednesday,False,198.94709677419357,5.169032258064516,40.71483870967742,33.08129032258064
2024-02-19,0.9,17,complete_snow_loose_dry,1.6,0.9000000000000001,1.0,1.0,2,19,2024,0,Monday,False,44.531612903225806,-1.5974193548387094,41.303225806451614,34.678709677419356
